"May 18, 2014 at 12:30AM","May 18, 2014 at 02:00AM",1h 30m,5400,0,0,0%,0,0,0%,0,0,0%
"May 18, 2014 at 03:08AM","May 18, 2014 at 07:30AM",4h 46m,17192,1h 40m,6000,33.98%,2h 43m,9780,55.4%,7m,463,2.62%
"May 19, 2014 at 12:42AM","May 19, 2014 at 06:30AM",5h 47m,20824,2h 17m,8224,38.05%,3h 30m,12600,58.29%,13m,792,3.66%
"May 20, 2014 at 12:53AM","May 20, 2014 at 06:30AM",6h 9m,22173,2h 50m,10209,41.56%,2h 48m,10080,41.03%,39m,2394,9.74%
"May 22, 2014 at 12:02AM","May 22, 2014 at 06:30AM",6h 29m,23347,4h 11m,15066,62.72%,2h 18m,8281,34.47%,11m,675,2.81%
"May 22, 2014 at 11:16PM","May 23, 2014 at 06:30AM",7h 57m,28632,3h 12m,11528,38.52%,4h 8m,14882,49.72%,21m,1299,4.34%
"May 24, 2014 at 12:50AM","May 24, 2014 at 07:50AM",7h 0m,25200,2h 45m,9900,33.67%,4h 15m,15300,52.04%,1h 10m,4200,14.29%
"May 24, 2014 at 08:30PM","May 25, 2014 at 05:00AM",8h 5m,29100,3h 35m,12900,42.16%,4h 30m,16200,52.94%,25m,1500,4.9%
"May 25, 2014 at 05:35AM","May 25, 2014 at 09:00AM",3h 41m,13289,2h 9m,7740,51.8%,1h 18m,4680,31.32%,27m,1654,11.07%
"May 25, 2014 at 11:36PM","May 26, 2014 at 08:10AM",9h 32m,34362,4h 55m,17714,47.55%,3h 26m,12360,33.18%,48m,2891,7.76%
"May 27, 2014 at 12:41AM","May 27, 2014 at 06:30AM",5h 52m,21164,3h 43m,13380,56.96%,1h 56m,6960,29.63%,38m,2325,9.9%
"May 28, 2014 at 02:52AM","May 28, 2014 at 06:30AM",3h 45m,13552,1h 40m,6012,38.45%,1h 58m,7080,45.28%,34m,2083,13.32%
"May 29, 2014 at 03:57AM","May 29, 2014 at 06:30AM",2h 44m,9884,1h 36m,5770,50.92%,1h 4m,3840,33.89%,24m,1448,12.78%
